subject,doctor_i,doctor_j,try_i,try_j,same_doctor,dice,iou
S09,A,C,1,2,False,1.7985612e-09,1.7985611478443144e-09
S09,A,C,1,3,False,1.2019231e-09,1.2019230754784579e-09
S09,A,D,1,1,False,2.4390243e-09,2.4390243842950623e-09
S09,A,D,1,2,False,1.7636684e-09,1.7636684272245706e-09
S09,A,D,1,3,False,1.2360939e-09,1.2360939416117502e-09
S09,A,A,2,3,True,0.24657534,0.14062500447591145
S09,A,B,2,1,False,4.273504e-09,4.273504255241435e-09
S09,A,B,2,2,False,3.8461536e-09,3.846153831360947e-09
S09,A,B,2,3,False,3.5587189e-09,3.5587188485454843e-09
S09,A,C,2,1,False,1.8050541e-09,1.8050541483663282e-09
S09,A,C,2,2,False,2.1321962e-09,2.1321961575006477e-09
S09,A,C,2,3,False,1.3422818e-09,1.34228187739291e-09
S09,A,D,2,1,False,3.0959753e-09,3.0959752226130798e-09
S09,A,D,2,2,False,2.0833333e-09,2.0833333289930555e-09
S09,A,D,2,3,False,1.3850415e-09,1.3850415493281973e-09
S09,A,B,3,1,False,0.35362318,0.21478873515919458
S09,A,B,3,2,False,2.6954179e-09,2.6954177824921354e-09
S09,A,B,3,3,False,2.5510205e-09,2.55102040165556e-09
S09,A,C,3,1,False,1.5037593e-09,1.5037593962349483e-09
S09,A,C,3,2,False,1.7241379e-09,1.7241379280618311e-09
S09,A,C,3,3,False,1.1682243e-09,1.1682242977006725e-09
S09,A,D,3,1,False,2.3041475e-09,2.3041474601286924e-09
S09,A,D,3,2,False,1.6920474e-09,1.6920473744635407e-09
S09,A,D,3,3,False,1.2004802e-09,1.200480190635678e-09
S09,B,B,1,2,True,2.5906737e-09,2.590673568417944e-09
S09,B,B,1,3,True,2.4570024e-09,2.4570024509655957e-09
S09,B,C,1,1,False,1.4705882e-09,1.4705882331314878e-09
S09,B,C,1,2,False,1.6806723e-09,1.6806722660829037e-09
S09,B,C,1,3,False,1.1481056e-09,1.1481056243994194e-09
S09,B,D,1,1,False,0.013363031,0.006726459626173857
S09,B,D,1,2,False,0.10891089,0.057591624681340964
S09,B,D,1,3,False,1.1792453e-09,1.1792452816282485e-09
S09,B,B,2,3,True,0.6281755,0.4579124597376685
S09,B,C,2,1,False,0.13314448,0.07132018350330777
S09,B,C,2,2,False,0.17713365,0.09717314647142553
S09,B,C,2,3,False,0.13823858,0.07425149811466886
S09,B,D,2,1,False,0.10947368,0.05790646089553127
S09,B,D,2,2,False,0.14240506,0.07666098964793698
S09,B,D,2,3,False,0.08466819,0.04420549696032796
S09,B,C,3,1,False,0.09903714,0.05209840947597914
S09,B,C,3,2,False,0.13707165,0.07357859686692542
S09,B,C,3,3,False,0.104575165,0.05517241487911216
S09,B,D,3,1,False,2.016129e-09,2.016129028193288e-09
S09,B,D,3,2,False,0.027565086,0.013975156810597581
S09,B,D,3,3,False,0.004469275,0.002239642774647657
S09,C,C,1,2,True,0.67103827,0.5049342113405687
S09,C,C,1,3,True,0.64651555,0.4776674944445813
S09,C,D,1,1,False,1.3003901e-09,1.300390115344096e-09
S09,C,D,1,2,False,1.0799136e-09,1.0799136057452336e-09
S09,C,D,1,3,False,0.04452055,0.02276707616220046
S09,C,C,2,3,True,0.63833636,0.4687915013694668
S09,C,D,2,1,False,1.4619883e-09,1.4619883019561574e-09
S09,C,D,2,2,False,1.1890606e-09,1.1890606406788814e-09
S09,C,D,2,3,False,0.09048938,0.04738878235262206
S09,C,D,3,1,False,1.0416666e-09,1.0416666655815972e-09
S09,C,D,3,2,False,8.9525515e-10,8.952551469156175e-10
S09,C,D,3,3,False,0.11037528,0.058411215686595616
S09,D,D,1,2,True,0.72805756,0.5723981910126738
S09,D,D,1,3,True,0.339381,0.20437018097124654
S09,D,D,2,3,True,0.28153566,0.16382978812358534
S10,A,A,1,2,True,0.63414633,0.4642857238520407
S10,A,A,1,3,True,0.16666669,0.09090909917355364
S10,A,B,1,1,False,5.780347e-09,5.780346787396839e-09
S10,A,B,1,2,False,1.8484289e-09,1.8484288320731443e-09
S10,A,B,1,3,False,1.3089005e-09,1.3089005218469888e-09
S10,A,C,1,1,False,1.9762845e-09,1.9762845810745364e-09
S10,A,C,1,2,False,2.6666667e-09,2.6666666595555553e-09
S10,A,C,1,3,False,2.5510205e-09,2.55102040165556e-09
S10,A,D,1,1,False,5.128205e-09,5.12820510190664e-09
S10,A,D,1,2,False,0.25714287,0.1475409905939263
S10,A,D,1,3,False,0.35964912,0.21925134107352223
S10,A,A,2,3,True,0.35,0.21212122007958364
