image_path,image_name,subject_id,image_hash,duplicate_group_size,is_duplicate_image_content
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-B-3.bmp,S10-B-3.bmp,S10,049003837deb849db5fbc86a94d85fe0,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-C-1.bmp,S10-C-1.bmp,S10,a271d88255e6e9b13d5e99aa5b49b6c9,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-C-2.bmp,S10-C-2.bmp,S10,fbae96e53569c9bee779e36ded50240e,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-C-3.bmp,S10-C-3.bmp,S10,9bfeae198c2b20fa12638106ccec3d58,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-D-1.bmp,S10-D-1.bmp,S10,67139ed8b32bbf2819adc1c2505732fc,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-D-2.bmp,S10-D-2.bmp,S10,afc5a0d5b225ff9a974059816935baf5,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S10-D-3.bmp,S10-D-3.bmp,S10,7b9e4565fc13789a9a2dbc993721dbac,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-A-1.bmp,S11-A-1.bmp,S11,4a1fb62def55f827b7dbba0be48201fd,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-A-2.bmp,S11-A-2.bmp,S11,ab8c544628a3a69f839f92dfabe3f3e3,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-A-3.bmp,S11-A-3.bmp,S11,4e34bafb20d3a727d1f57d349583c99a,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-B-1.bmp,S11-B-1.bmp,S11,a6898c9dd4e475b5aeeebbe5b4bb6b5e,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-B-2.bmp,S11-B-2.bmp,S11,8de864b7437205dabff9bf28f1411beb,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-B-3.bmp,S11-B-3.bmp,S11,75d36c511c6d1127ab7c63fc201f90aa,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-C-1.bmp,S11-C-1.bmp,S11,51f24cec7c25e946ee366b273fee4472,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-C-2.bmp,S11-C-2.bmp,S11,e8a35529712e25cfa3201854217d28e7,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-C-3.bmp,S11-C-3.bmp,S11,15567ad2fc5c4a55109d9d28819b316b,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-D-1.bmp,S11-D-1.bmp,S11,b9396bca45d758afbdb0d85896d99d3f,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-D-2.bmp,S11-D-2.bmp,S11,42794207721107062810867cd1776fef,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S11-D-3.bmp,S11-D-3.bmp,S11,c0a3cbeda55bf1ec0968c00b170d4723,1,False
